system_weight,bias_0,bias_1,bias_2,bias_3,bias_4,target
0.60167366,-0.5774011,0.32989183,0.45596436,0.93131787,-0.46443808,1
0.6015344,1.4520427,-1.640699,0.60960615,1.3388236,-0.8620264,1
0.6019782,0.06054358,1.1715686,1.2095221,-0.29357654,0.58316284,0
0.60093653,2.8437834,-0.9193177,0.5705256,0.4245815,-2.2343135,1
0.60083777,-0.12563609,0.9941389,-0.029856792,0.9189449,-0.42914137,0
0.60164315,-0.1930633,-0.49805135,-1.216781,1.5081129,-0.5500122,0
0.60126865,-2.5474472,0.1609316,0.0036831729,0.15200861,0.40177795,1
0.60121006,0.49451864,1.3929967,0.8304797,-1.3971069,-0.045969874,0
0.60206676,-1.3054501,1.0756612,-1.8031775,0.059458163,-1.3359871,1
0.60217625,-0.20274383,-0.5704391,0.67420506,0.32839832,-0.08156371,0
0.60131353,-0.26158088,1.3338732,-0.27675772,0.14176033,-1.2513101,1
0.60138774,-1.5157332,-0.32520014,-1.119886,-0.5198156,-1.3507684,1
0.6012482,-0.470632,0.052314684,0.014406623,-0.7156133,-1.0855602,1
0.6014909,0.3629189,-0.5016807,0.2052058,1.1391423,-0.18968157,0
0.6007494,0.5862298,0.5999521,0.81966853,0.27346295,-0.043816067,0
0.60129434,0.1492917,0.20887606,-0.24036856,-1.1048443,2.0673335,0
0.6012288,-0.92179734,-0.3258768,0.6975151,-1.3321565,-0.48240942,1
0.6017762,0.64215,0.5388372,0.94672495,2.1377933,0.22953494,1
0.60111743,-0.33713335,0.26888862,-0.42336452,-1.0284914,0.08085071,0
0.60178703,-1.1454636,1.1975487,-0.08179201,0.042196397,0.34178472,1
0.60084754,-0.3386083,-0.76964015,0.45659506,0.3526944,-0.53357136,0
0.601183,-1.0507382,-1.1881833,-0.12728685,-0.23379713,0.14961946,0
0.6021007,-0.027177874,-1.454493,0.725924,0.03308227,1.0992117,0
0.6013974,1.2681911,1.5835695,0.8319555,-1.7333711,0.017306821,1
0.60146236,0.24299058,-2.2985833,-0.4842277,1.292525,1.2765343,0
0.60170513,-0.82975876,1.322423,1.6817622,-1.711813,0.7492333,1
0.6013497,-0.39524734,-0.47374126,0.017084453,1.5810866,2.4437153,1
0.60180354,-1.1917671,1.6171587,0.3541869,0.829304,0.32433614,1
0.60128194,-0.22257212,-0.087979265,-0.18010023,-0.12450053,-1.1237563,0
0.6019564,2.3161366,0.44250458,-0.3572418,1.2257339,0.40848547,0
0.6011544,-0.33842748,-1.7343769,-1.5468553,1.0090178,1.9017664,1
0.6013771,-0.86393285,0.9313056,-0.26720226,-0.18169244,-0.013552483,0
0.6022814,0.2481217,-0.49224907,-0.6228517,0.7264582,-0.5688247,0
0.6020213,1.079452,-0.9090385,0.2815866,1.1441468,1.2499776,1
0.60191816,0.91572607,-3.1128917,1.228065,-0.2646872,0.5615958,1
0.6015019,-0.03606888,-1.2777766,0.7481517,-1.1839354,0.29968473,1
0.6015067,-0.13021599,-0.29220787,0.3004779,-0.76398283,-0.17326488,1
0.6016859,0.89442605,-0.03590701,-0.22958837,1.3171184,1.6852648,1
0.60194653,-0.5610132,-0.6922299,1.203041,-0.69071925,-0.7949295,1
0.601405,-0.48888695,-1.1417668,1.2659867,-1.9565651,0.24367218,1
0.60107267,-0.46141812,-1.9095534,-1.2135189,0.7575221,0.9036669,0
0.60097915,0.9600829,-1.0437307,0.7350342,0.86970276,0.87487686,0
0.60118645,1.0247946,1.160579,-0.90913343,1.2061602,-1.5165344,0
0.60142183,-1.7456188,0.6149543,-0.4082879,-0.88187504,1.1863469,1
0.60131,-0.28333566,1.3416697,-0.7955455,1.129905,-0.7307844,0
0.6014213,-0.07218065,-0.49192956,-0.43357155,1.2673857,-1.4390017,0
0.602343,0.03511556,-1.6684146,-0.019153124,0.8915824,-1.1469712,1
0.60193497,0.9789277,-1.1449194,-0.7414166,-1.0760415,1.7339435,1
0.6013528,0.7235708,0.7750878,0.34190264,-0.8016669,0.79390717,1
0.60150933,0.3226652,-2.1686845,1.2204907,1.265603,-0.52490073,1
0.60144186,-0.17226306,1.8011428,0.18029113,1.3732965,0.4217852,0
0.60194355,1.4818952,2.0781727,0.9180621,1.4071566,-0.60124683,0
0.6024567,0.5365353,0.21689346,-1.1855477,-0.47398612,-0.14168638,0
0.6015354,-1.0156093,-0.248356,-0.17329317,0.004342471,0.47521928,1
0.60112756,-0.25168964,-1.0581948,-1.1588658,-0.68318754,-0.55751663,0
0.60192883,-0.13700067,0.57053196,-2.262663,-1.5247799,-0.53035265,1
0.6019535,1.5056014,1.3635985,-1.0462581,0.23346747,0.4367527,1
0.60105443,1.4818728,0.7347701,-0.97051084,-0.29963028,-0.3123664,1
0.60102224,0.102024324,-0.10716993,0.1393561,-0.06581547,0.39252406,0
0.6017142,0.2432177,-0.012553762,0.06296865,-0.020594927,0.03302497,0
0.60136986,-1.3012038,0.8064286,-0.20947407,-0.13820675,0.12538573,1
0.60231936,0.39734298,0.6971007,0.14400756,-1.9551435,-0.8600873,1
0.6020918,-0.67515385,1.2467978,1.880577,-0.49002913,0.6576969,1
0.6019853,0.17530179,0.28529355,0.026415085,0.94901484,0.5154844,1
0.6013874,1.1541373,-0.7106109,0.35961592,-0.8533812,-1.2989274,0
0.60234207,0.5832603,0.9151338,2.699847,0.7409236,-1.1960169,0
0.6015739,0.09971432,0.82455087,0.8759908,1.7119569,0.36455068,1
0.60156447,-1.0675256,-0.14466219,-1.0737504,-1.443954,0.77285886,0
0.6014768,-0.22127411,-0.05899013,-0.991582,-0.8564679,0.2844498,1
0.60127795,0.34394348,0.3693346,0.8726266,1.7615185,0.3560241,0
0.60171247,-1.7844255,-0.6237894,0.7828239,-0.9191669,1.5493821,0
0.6017932,1.109854,1.8029697,-0.9394168,-0.5390606,2.197422,1
0.60160846,0.7973585,0.05989536,-0.40270948,0.18368569,-0.84129363,0
0.6021194,0.27310738,0.25104457,0.7364771,-0.18187249,1.0081643,0
0.601761,0.008918808,2.0289104,-0.34082758,0.17305893,-0.866878,1
0.6029077,1.083444,1.9199575,0.13791516,2.586236,-1.6640309,0
0.60198575,0.38868272,-0.17433661,-0.48479736,0.31170043,0.6214507,1
0.60162526,-1.2975433,-2.2942178,0.7173796,-1.2429259,0.30337057,0
0.60195476,-1.5937656,1.5848943,-0.46744958,-0.81354004,-0.306354,1
0.60090953,0.21930276,-0.65652424,0.18192129,0.7875507,0.8469854,1
0.6016851,-0.33514717,0.5420924,-0.5853372,0.37928063,0.28210905,1
0.6024703,-0.01848288,-1.9282265,0.32778904,0.37595004,-0.3199571,0
0.6016366,0.41241795,-0.85260385,1.1276224,-1.620344,-1.4018658,0
0.6023808,-0.1803924,-1.5113035,0.93281084,-0.6301743,1.0728294,0
0.60137916,-1.4504137,0.295861,2.5415995,-0.160876,-0.10136553,0
0.6014831,0.44240323,-1.0918576,-0.4402463,-0.13851565,0.74355596,1
0.60155857,0.6915183,-1.9605191,0.9463361,-1.372426,1.5518496,0
0.60111636,0.5895369,-0.105204746,-0.1425863,0.22860424,1.0418472,0
0.6017499,-0.90422523,-2.0324879,-2.5085573,0.46574798,-0.55373555,0
0.60138786,1.0197037,-0.103307374,1.1722772,0.37992498,0.98428833,0
0.6008886,0.65931106,0.12468708,1.5544484,-0.25901878,-0.5112794,1
0.60155916,-0.47246683,-0.1460895,0.64318436,0.74979734,-0.89820826,0
0.6018439,-1.4888158,-0.041718673,-0.4967901,0.018767096,0.5518397,1
0.601579,-0.8936898,0.23305985,2.190437,0.895162,-0.93394053,0
0.6013226,-1.0085776,-0.018939469,-1.1871008,-0.8076458,-0.08562532,0
0.6011499,-1.018964,1.4069334,0.816783,-1.5186118,0.5085361,0
0.6013567,-0.33991075,2.2061696,-1.7516906,-1.6514064,-0.9545211,1
0.60092694,0.8413755,0.58356977,-0.73968476,-0.53408515,-1.665105,1
0.60110533,0.0802672,-0.09962183,0.31995857,-0.51639324,0.7108104,0
0.6023431,-1.7908722,0.29696897,1.8495392,-0.11248516,-0.69673395,1
